Date,Year,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI Inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB Corporate Yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index,House Price Index,Commercial Real Estate Price Index,Market Volatility Index (VIX)
Q3,2002,1.1,1.6,1,4.9,1.5,105.4,2.6,-0.7,121.7,3.4,1.4,1.6,,,,
Q4,2002,0.2,2.4,1,6.4,0.7,104.4,1.6,-0.4,118.8,4.3,1.9,1.6,,,,
Q1,2003,-0.3,3.3,1.1,7,3.2,105.4,-2.1,-1.6,118.1,2.1,1.6,1.6,,,,
Q2,2003,0.3,0.3,1.2,2.8,1.2,103.9,4.9,1.7,119.9,5.4,0.3,1.7,,,,
Q3,2003,1.8,2.2,1.2,13.4,0.1,102.6,1.7,-0.7,111.4,5.2,1.7,1.7,,,,
Q4,2003,2.9,2.2,1.3,11.9,5.5,103.3,4.3,-0.6,107.1,5.3,1.7,1.8,,,,
Q1,2004,2,2.3,1.2,4.6,4.2,101.4,4.3,-0.9,104.2,2.7,1.3,1.8,,,,
Q2,2004,2.2,2.4,1.2,6.2,3.9,102.7,-0.3,1.1,109.4,1.8,1,1.8,,,,
Q3,2004,1.5,2,1.2,8.7,4,102.7,0.6,0.1,110.2,0.3,1.1,1.8,,,,
Q4,2004,1.3,2.4,1.4,8.1,0.7,99,-1,1.7,102.7,2.7,2.4,1.9,,,,
Q1,2005,0.9,1.5,1.3,7.9,2.9,98.7,0.9,-2.7,107.2,3.1,2.6,1.9,,,,
Q2,2005,2.8,2.2,1.2,7.3,1.6,99,5.2,-1.3,110.9,5.3,1.9,1.8,,,,
Q3,2005,2.6,3.2,1.2,9.8,2.6,98.6,1.5,-1.1,113.3,3.9,2.7,1.8,,,,
Q4,2005,2.6,2.5,1.2,10.8,1.7,98.1,0.7,0.6,117.9,5.3,1.4,1.7,,,,
Q1,2006,3.7,1.7,1.2,12,2.4,96.8,1.8,1.3,117.5,1.5,1.9,1.7,,,,
Q2,2006,4.5,2.5,1.3,7.9,3.3,96.8,1.6,-0.1,114.5,1.4,3,1.8,,,,
Q3,2006,2.6,2,1.3,8.7,2,96.4,-0.2,0.5,118,1,3.3,1.9,,,,
Q4,2006,4.4,0.9,1.3,11,4,94.6,5.2,-0.4,119,3.1,2.6,2,,,,
Q1,2007,3.2,2.2,1.3,14.7,3.7,94,4.1,-0.2,117.6,4,2.6,2,,,,
Q2,2007,1.9,2.3,1.4,10,5.1,92,0.5,0,123.4,5.3,1.6,2,,,,
Q3,2007,2.4,2.1,1.4,8.9,7.6,90.7,-1.4,0.1,115,5,0.3,2,,,,
Q4,2007,1.6,4.9,1.5,10.7,5.8,89.4,3.4,2.2,111.7,0.4,4,2,,,,
Q1,2008,2.3,4.2,1.6,8.6,7.9,88,2.7,1.3,99.9,0.6,3.7,2,,,,
Q2,2008,-1.6,3.2,1.6,7.5,6.2,88.6,-4.8,1.4,106.2,-3.6,5.5,2,,,,
Q3,2008,-2.4,3.2,1.4,3.8,2.8,91.3,-4,3.8,105.9,-5.6,5.9,1.8,,,,
Q4,2008,-6.7,-1.4,1.4,0.4,-0.6,92,-12.4,-2.2,90.8,-8.3,0.6,1.5,,,,
Q1,2009,-10.9,-1.1,1.3,3.4,-1.2,94,-15,-3.6,99.2,-9.5,-0.1,1.4,,,,
Q2,2009,-1.1,0,1.4,15.9,2.4,92.1,6.7,-1.7,96.4,-1.7,2,1.6,,,,
Q3,2009,1.6,1.2,1.5,12.8,4.9,91.1,0.4,-1.2,89.5,0,3.7,1.6,,,,
Q4,2009,1.8,1.6,1.4,8.4,5.2,90.5,7.5,-1.5,93.1,1.7,3.1,1.6,,,,
Q1,2010,1.6,1.7,1.4,9.2,5,89.7,5.9,0.7,93.4,2.1,4,1.5,,,,
Q2,2010,3.6,2,1.2,9.3,3.4,90.8,3.7,-1,88.5,4.1,3,1.5,,,,
Q3,2010,1.7,1.8,1.4,8.7,3.9,88.2,6,-1.7,83.5,1.6,2.6,1.6,,,,
Q4,2010,2.1,2.5,1.3,8.3,7.8,87.3,-1.3,1.2,81.7,-0.8,4,1.5,,,,
Q1,2011,3.1,3.5,1.4,9.4,6.4,86.4,-7.6,-0.8,82.8,1.9,6.6,1.6,,,,
Q2,2011,0.3,3.2,1.5,6.8,5.9,85.2,-3.4,-0.5,80.6,0.4,4.4,1.6,,,,
Q3,2011,0.3,1.7,1.3,7.2,5.9,87.2,10.7,0.7,77,2.4,4.2,1.6,,,,
Q4,2011,-0.8,3.3,1.3,5.9,2.9,87.1,1.4,-0.4,77,-0.4,3.4,1.6,,,,
Q1,2012,-0.4,2.5,1.3,5.8,2.8,86.2,5,1.2,82.4,0,1.8,1.6,,,,
Q2,2012,-1.2,2.4,1.3,6.5,4,87.9,-1.2,-0.7,79.8,-1.8,1.7,1.6,,,,
Q3,2012,-0.5,2.1,1.3,6.6,2.7,86.1,-3.5,-1.5,77.9,2.5,3,1.6,,,,
Q4,2012,-2,2.2,1.3,6.8,3.5,85.8,1.1,0,86.6,-1.2,4,1.6,,,,
Q1,2013,-0.9,0.7,1.3,5.5,3.9,86.1,4.1,-0.4,94.2,1.5,2.3,1.5,,,,
Q2,2013,1.1,0.6,1.3,6.3,3,87,3.8,0.8,99.2,2.7,1.5,1.5,,,,
Q3,2013,0.6,1.9,1.4,6.5,3.9,87.2,2.6,3.1,98.3,3.2,3.1,1.6,,,,
Q4,2013,-4.2,0.1,1.2,1.4,2.3,96.9,-3.3,-1.9,97.9,-0.8,0.9,1.4,,,,
Q1,2014,-3.4,0,1.2,3.8,1.9,96.9,-5,-1.2,99.7,-1,0.7,1.4,,,,
Q2,2014,-2,-0.1,1.2,5.6,1.8,96.5,-4.3,-1.2,101.2,-0.5,0.6,1.4,,,,
Q3,2014,-0.8,0.1,1.2,6.4,1.8,96,-3.3,-1,102.5,0.1,0.7,1.4,,,,
Q4,2014,0.1,0.3,1.2,6.7,1.8,95.2,-2.2,-0.8,103.7,0.6,0.8,1.4,,,,
Q1,2015,0.9,0.5,1.2,6.8,1.7,93.1,-1.2,-0.7,103.6,1.1,1,1.4,,,,
Q2,2015,1.4,0.7,1.2,6.8,1.7,91,-0.3,-0.6,103.5,1.5,1.2,1.4,,,,
Q3,2015,1.8,0.9,1.2,6.8,1.7,88.9,0.4,-0.4,103.4,1.9,1.4,1.4,,,,
Q4,2015,1.9,1,1.2,6.8,1.9,87.1,0.9,-0.1,103.4,2.1,1.5,1.4,,,,
Q1,2016,2,1.1,1.2,6.9,2.1,86.2,1.3,0.2,103,2.3,1.6,1.4,,,,
Q2,2016,2,1.1,1.2,6.9,2.3,85.5,1.5,0.5,102.7,2.4,1.7,1.4,,,,
Q3,2016,1.9,1.2,1.2,7,2.5,85,1.7,0.7,102.4,2.5,1.7,1.4,,,,
Q4,2016,1.9,1.3,1.2,7.1,2.6,84.5,1.8,0.9,102.1,2.5,1.8,1.4,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Page 15-16: Supervisory severely adverse scenario: Domestic,,,,,,,,,,,,,,,,,
Date,,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI Inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB Corporate Yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index,House Price Index,Commercial Real Estate Price Index,Market Volatility Index (VIX)
Q1,2001,-1.1,1.4,3.5,6.3,4.2,3.9,4.8,4.9,5.3,7.4,7,8.6,10645.9,112.4,140.8,32.8
Q2,2001,2.1,5,-0.3,1.6,4.4,2.8,3.7,4.9,5.5,7.5,7.1,7.3,11407.2,114.5,140,34.7
Q3,2001,-1.2,0.1,9.8,10.1,4.8,1.1,3.2,4.6,5.3,7.3,7,6.6,9563,116.7,143.7,43.7
Q4,2001,1,2.2,-4.9,-4.6,5.5,-0.3,1.9,4.2,5.1,7.2,6.8,5.2,10707.7,119.1,137.9,35.3
Q1,2002,3.8,5.1,10.1,10.9,5.7,1.3,1.7,4.5,5.4,7.6,7,4.8,10775.7,121.3,139.7,26.1
Q2,2002,2.2,3.8,2,5.2,5.8,3.2,1.7,4.5,5.4,7.6,6.8,4.8,9384,124.3,137.4,28.4
Q3,2002,1.9,3.8,-0.5,1.5,5.7,2.2,1.6,3.4,4.5,7.3,6.3,4.8,7773.6,127.8,140.9,45.1
Q4,2002,0.2,2.4,1.9,3.8,5.9,2.4,1.3,3.1,4.3,7,6.1,4.5,8343.2,130.4,144.2,42.6
Q1,2003,2,4.6,1.2,4.1,5.9,4.2,1.2,2.9,4.2,6.5,5.8,4.3,8051.9,133.3,148.7,34.7
Q2,2003,3.8,5.1,5.9,6.3,6.1,-0.7,1,2.6,3.8,5.7,5.5,4.2,9342.4,136,151.2,29.1
Q3,2003,6.9,9.4,6.7,9.3,6.1,3,0.9,3.1,4.4,6,6,4,9649.7,139.7,152.2,22.7
Q4,2003,4.6,6.7,1.6,3.3,5.8,1.5,0.9,3.2,4.4,5.8,5.9,4,10799.6,144.3,150.1,21.1
Q1,2004,2.4,6,2.9,6.1,5.7,3.4,0.9,3,4.1,5.5,5.6,4,11039.4,149.9,155.8,21.6
Q2,2004,3.1,6.6,4,7,5.6,3.2,1.1,3.7,4.7,6.1,6.2,4,11144.6,156.2,162.6,20
Q3,2004,3.6,6.2,2.1,4.5,5.4,2.6,1.5,3.5,4.4,5.8,5.9,4.4,10893.8,161.9,173.9,19.3
Q4,2004,3.4,6.4,5.1,8.4,5.4,4.4,2,3.5,4.3,5.4,5.7,4.9,11951.5,167.5,178.4,16.6
Q1,2005,4.4,8.3,-3.8,-1.8,5.3,2,2.5,3.9,4.4,5.4,5.8,5.4,11637.3,175.7,179.6,14.6
Q2,2005,2.2,5.1,3.2,6,5.1,2.7,2.9,3.9,4.2,5.5,5.7,5.9,11856.7,183.3,186.5,17.7
Q3,2005,3.3,7.3,2.1,6.6,5,6.2,3.4,4,4.3,5.5,5.8,6.4,12282.9,189.5,190.8,14.2
Q4,2005,2.2,5.5,3.3,6.6,5,3.8,3.8,4.4,4.6,5.9,6.2,7,12497.2,194.4,199.6,16.5
Q1,2006,4.9,8.2,9.5,11.5,4.7,2.1,4.4,4.6,4.7,6,6.2,7.4,13121.6,198.9,203,14.6
Q2,2006,1.3,4.6,0.6,3.7,4.6,3.7,4.7,5,5.2,6.5,6.6,7.9,12808.9,199,211.9,23.8
Q3,2006,0.4,3.2,1.2,4.1,4.6,3.8,4.9,4.8,5,6.4,6.6,8.3,13322.5,196.9,224.2,18.6
Q4,2006,3.2,4.6,5.3,4.6,4.4,-1.6,4.9,4.6,4.7,6.1,6.2,8.3,14215.8,197.3,221.1,12.7
Q1,2007,0.3,4.8,2.7,6.5,4.5,4,5,4.6,4.8,6.1,6.2,8.3,14354,195.6,233.3,19.6
Q2,2007,3.1,5.4,0.8,4,4.5,4.6,4.7,4.7,4.9,6.3,6.4,8.3,15163.1,191.3,241.5,18.9
Q3,2007,2.7,4.1,1,3.3,4.7,2.6,4.3,4.5,4.8,6.5,6.6,8.2,15317.8,185.9,257.8,30.8
Q4,2007,1.5,3.3,0.3,4.4,4.8,5,3.4,3.8,4.4,6.4,6.2,7.5,14753.6,180.2,260.2,31.1
Q1,2008,-2.7,-0.5,2.9,6.5,5,4.4,2.1,2.8,3.9,6.5,5.9,6.2,13284.1,174.1,253.6,32.2
Q2,2008,2,4,8.7,13.3,5.3,5.3,1.6,3.2,4.1,6.8,6.1,5.1,13016.4,166.3,242.1,24.1
Q3,2008,-2,0.7,-8.8,-5,6,6.3,1.5,3.1,4.1,7.2,6.3,5,11826,159.6,246.8,46.7
Q4,2008,-8.3,-7.8,2.5,-3.2,6.9,-8.9,0.3,2.2,3.7,9.4,5.8,4.1,9056.7,152,231.9,80.9
Q1,2009,-5.4,-4.5,-1.4,-3.6,8.3,-2.6,0.2,1.9,3.2,9,5.1,3.3,8044.2,144.3,211.2,56.7
Q2,2009,-0.4,-1.1,3,4.9,9.3,2,0.2,2.3,3.7,8.2,5,3.3,9342.8,142.3,175.4,42.3
Q3,2009,1.3,1.2,-4,-1.6,9.6,3.5,0.2,2.5,3.8,6.8,5.1,3.3,10812.8,143.8,158.7,31.3
Q4,2009,3.9,5.1,-0.1,2.6,9.9,3.1,0.1,2.3,3.7,6.1,4.9,3.3,11385.1,144.6,158,30.7
Q1,2010,1.6,3,0.3,1.7,9.8,0.7,0.1,2.4,3.9,5.8,5,3.3,12032.5,145.3,153.2,27.3
Q2,2010,3.9,5.8,5.3,5.8,9.6,-0.2,0.1,2.3,3.6,5.6,4.9,3.3,10645.8,145.3,168.8,45.8
Q3,2010,2.8,4.7,1.9,3.1,9.5,1.4,0.2,1.6,2.9,5.1,4.4,3.3,11814,142.3,171.1,32.9
Q4,2010,2.8,4.9,2.6,4.8,9.5,3,0.1,1.5,3,5,4.4,3.3,13131.5,140.2,177.8,23.5
Q1,2011,-1.3,0.3,5,8.2,9,4.4,0.1,2.1,3.5,5.4,4.8,3.3,13908.5,138.9,184.8,29.4
Q2,2011,3.2,5.9,-0.4,3.3,9,4.7,0,1.8,3.3,5.1,4.7,3.3,13843.5,137.5,181.8,22.7
Q3,2011,1.4,3.9,1.6,3.9,9,2.9,0,1.1,2.5,4.9,4.3,3.3,11676.5,137.2,182,48
Q4,2011,4.9,5.4,-0.6,0.8,8.7,1.4,0,1,2.1,5,4,3.3,13019.3,136.3,195.2,45.5
Q1,2012,3.7,5.8,4.6,6.9,8.3,2.3,0.1,0.9,2.1,4.7,3.9,3.3,14627.5,138.5,193.5,23
Q2,2012,1.2,3,1.8,2.9,8.2,1,0.1,0.8,1.8,4.5,3.8,3.3,14100.2,141.4,193.7,26.7
Q3,2012,2.8,4.9,-0.6,1.1,8,2.1,0.1,0.7,1.6,4.2,3.6,3.3,14894.7,143.9,201.1,20.5
Q4,2012,0.1,1.6,9,10.7,7.8,2.2,0.1,0.7,1.7,3.9,3.4,3.3,14834.9,146.8,203.2,22.7
Q1,2013,1.1,2.8,-7.9,-7,7.7,1.4,0.1,0.8,1.9,4,3.5,3.3,16396.2,152.6,205.4,19
Q2,2013,2.5,3.1,3.5,3.4,7.6,0,0.1,0.9,2,4.1,3.7,3.3,16771.3,157.8,214.3,20.5
Q3,2013,2,4.7,1.7,4.3,7.3,2.3,0,1.5,2.7,4.9,4.4,3.3,17718.3,158.8,217,17
Q4,2013,-3.9,-2,-0.5,0.1,8.1,0.5,0.1,0.8,1,5,4.4,3.3,13016.5,156.4,219.7,67.9
Q1,2014,-6.1,-4,-2.4,-1.9,9.2,0.4,0.1,0.6,1,5.8,4.4,3.3,11402.6,151.3,211.2,61.3
Q2,2014,-3.2,-1.9,0.1,0.8,9.9,0.8,0.1,0.6,1.1,6.1,4.4,3.3,9769.1,145.4,194.5,65.7
Q3,2014,-4,-2.6,-1.1,-0.2,10.7,0.8,0.1,0.6,1.1,6.2,4.4,3.3,8943.3,139.1,175.5,57.9
Q4,2014,-1.5,-0.3,-0.5,0.5,11.1,1.1,0.1,0.6,1.3,6.1,4.4,3.3,9616.9,133.2,161.3,42.1
Q1,2015,1.2,2.5,1.2,2.5,11.2,1.5,0.1,0.6,1.3,5.8,4.3,3.3,10314.4,127.7,150.3,34.1
Q2,2015,1.1,2.2,1,2.2,11.3,1.4,0.1,0.6,1.4,5.6,4.3,3.3,11061.2,123,143.9,27.7
Q3,2015,3,4.1,1.4,2.8,11.2,1.6,0.1,0.6,1.5,5.3,4.2,3.3,11987.2,120.3,141.6,21.8
Q4,2015,3,4,1.6,2.9,11.1,1.6,0.1,0.6,1.6,5.1,4.2,3.3,12775.4,118.5,141.5,19.3
Q1,2016,3.9,4.9,2,3.2,10.9,1.6,0.1,0.6,1.7,5.1,4.3,3.3,13434.8,118,142.3,17.9
Q2,2016,3.9,4.8,2.2,3.4,10.8,1.6,0.1,0.6,1.8,5.1,4.3,3.3,13927.1,118.5,144.5,17.8
Q3,2016,3.9,4.8,1.8,3,10.6,1.6,0.1,0.6,1.9,4.9,4.3,3.3,14769.2,119.5,147.2,15.2
Q4,2016,3.9,4.7,2,3.1,10.4,1.5,0.1,0.6,2,4.8,4.3,3.3,15436.8,120.8,150.2,14.9
,,,,,,,,,,,,,,,,,
Page 17-18: Supervisory severely adverse scenario: International,,,,,,,,,,,,,,,,,
Date,,Euro area real GDP growth,Euro area inflation,Euro area bilateral dollar exchange rate ($/Euro),Developing Asia real GDP growth,Developing Asia inflation,"Developing Asia bilateral dollar exchange rate (F/USD, Index, base = 2000 Q1)",Japan real GDP growth,Japan inflation,Japan bilateral dollar exchange rate (yen/USD),U.K. real GDP growth,U.K. inflation,U.K. bilateral dollar exchange rate (USD/pound),,,,
Q1,2001,3.7,1.1,0.9,3.9,1.6,105.9,2.7,-1.2,125.5,3.1,0.1,1.4,,,,
Q2,2001,0.3,4.1,0.8,6,2,106,-0.9,-0.3,124.7,2.7,3.1,1.4,,,,
Q3,2001,0.4,1.4,0.9,4.7,1.3,106.3,-4.3,-1.1,119.2,1.9,1,1.5,,,,
Q4,2001,0.7,1.7,0.9,7,-0.2,106.7,-0.5,-1.4,131,0.5,0,1.5,,,,
Q1,2002,0.5,3,0.9,7.4,0.3,107.2,-0.7,-2.7,132.7,2.2,1.9,1.4,,,,
Q2,2002,2.3,2,1,9,0.7,104.7,4,1.7,119.9,3,0.9,1.5,,,,
Q3,2002,1.1,1.6,1,4.9,1.5,105.4,2.6,-0.7,121.7,3.4,1.4,1.6,,,,
Q4,2002,0.2,2.4,1,6.4,0.7,104.4,1.6,-0.4,118.8,4.3,1.9,1.6,,,,
Q1,2003,-0.3,3.3,1.1,7,3.2,105.4,-2.1,-1.6,118.1,2.1,1.6,1.6,,,,
Q2,2003,0.3,0.3,1.2,2.8,1.2,103.9,4.9,1.7,119.9,5.4,0.3,1.7,,,,
Q3,2003,1.8,2.2,1.2,13.4,0.1,102.6,1.7,-0.7,111.4,5.2,1.7,1.7,,,,
Q4,2003,2.9,2.2,1.3,11.9,5.5,103.3,4.3,-0.6,107.1,5.3,1.7,1.8,,,,
Q1,2004,2,2.3,1.2,4.6,4.2,101.4,4.3,-0.9,104.2,2.7,1.3,1.8,,,,
Q2,2004,2.2,2.4,1.2,6.2,3.9,102.7,-0.3,1.1,109.4,1.8,1,1.8,,,,
Q3,2004,1.5,2,1.2,8.7,4,102.7,0.6,0.1,110.2,0.3,1.1,1.8,,,,
Q4,2004,1.3,2.4,1.4,8.1,0.7,99,-1,1.7,102.7,2.7,2.4,1.9,,,,
Q1,2005,0.9,1.5,1.3,7.9,2.9,98.7,0.9,-2.7,107.2,3.1,2.6,1.9,,,,
Q2,2005,2.8,2.2,1.2,7.3,1.6,99,5.2,-1.3,110.9,5.3,1.9,1.8,,,,
Q3,2005,2.6,3.2,1.2,9.8,2.6,98.6,1.5,-1.1,113.3,3.9,2.7,1.8,,,,
Q4,2005,2.6,2.5,1.2,10.8,1.7,98.1,0.7,0.6,117.9,5.3,1.4,1.7,,,,
Q1,2006,3.7,1.7,1.2,12,2.4,96.8,1.8,1.3,117.5,1.5,1.9,1.7,,,,
Q2,2006,4.5,2.5,1.3,7.9,3.3,96.8,1.6,-0.1,114.5,1.4,3,1.8,,,,
Q3,2006,2.6,2,1.3,8.7,2,96.4,-0.2,0.5,118,1,3.3,1.9,,,,
Q4,2006,4.4,0.9,1.3,11,4,94.6,5.2,-0.4,119,3.1,2.6,2,,,,
Q1,2007,3.2,2.2,1.3,14.7,3.7,94,4.1,-0.2,117.6,4,2.6,2,,,,
Q2,2007,1.9,2.3,1.4,10,5.1,92,0.5,0,123.4,5.3,1.6,2,,,,
Q3,2007,2.4,2.1,1.4,8.9,7.6,90.7,-1.4,0.1,115,5,0.3,2,,,,
Q4,2007,1.6,4.9,1.5,10.7,5.8,89.4,3.4,2.2,111.7,0.4,4,2,,,,
Q1,2008,2.3,4.2,1.6,8.6,7.9,88,2.7,1.3,99.9,0.6,3.7,2,,,,
Q2,2008,-1.6,3.2,1.6,7.5,6.2,88.6,-4.8,1.4,106.2,-3.6,5.5,2,,,,
Q3,2008,-2.4,3.2,1.4,3.8,2.8,91.3,-4,3.8,105.9,-5.6,5.9,1.8,,,,
Q4,2008,-6.7,-1.4,1.4,0.4,-0.6,92,-12.4,-2.2,90.8,-8.3,0.6,1.5,,,,
Q1,2009,-10.9,-1.1,1.3,3.4,-1.2,94,-15,-3.6,99.2,-9.5,-0.1,1.4,,,,
Q2,2009,-1.1,0,1.4,15.9,2.4,92.1,6.7,-1.7,96.4,-1.7,2,1.6,,,,
Q3,2009,1.6,1.2,1.5,12.8,4.9,91.1,0.4,-1.2,89.5,0,3.7,1.6,,,,
Q4,2009,1.8,1.6,1.4,8.4,5.2,90.5,7.5,-1.5,93.1,1.7,3.1,1.6,,,,
Q1,2010,1.6,1.7,1.4,9.2,5,89.7,5.9,0.7,93.4,2.1,4,1.5,,,,
Q2,2010,3.6,2,1.2,9.3,3.4,90.8,3.7,-1,88.5,4.1,3,1.5,,,,
Q3,2010,1.7,1.8,1.4,8.7,3.9,88.2,6,-1.7,83.5,1.6,2.6,1.6,,,,
Q4,2010,2.1,2.5,1.3,8.3,7.8,87.3,-1.3,1.2,81.7,-0.8,4,1.5,,,,
Q1,2011,3.1,3.5,1.4,9.4,6.4,86.4,-7.6,-0.8,82.8,1.9,6.6,1.6,,,,
Q2,2011,0.3,3.2,1.5,6.8,5.9,85.2,-3.4,-0.5,80.6,0.4,4.4,1.6,,,,
Q3,2011,0.3,1.7,1.3,7.2,5.9,87.2,10.7,0.7,77,2.4,4.2,1.6,,,,
Q4,2011,-0.8,3.3,1.3,5.9,2.9,87.1,1.4,-0.4,77,-0.4,3.4,1.6,,,,
Q1,2012,-0.4,2.5,1.3,5.8,2.8,86.2,5,1.2,82.4,0,1.8,1.6,,,,
Q2,2012,-1.2,2.4,1.3,6.5,4,87.9,-1.2,-0.7,79.8,-1.8,1.7,1.6,,,,
Q3,2012,-0.5,2.1,1.3,6.6,2.7,86.1,-3.5,-1.5,77.9,2.5,3,1.6,,,,
Q4,2012,-2,2.2,1.3,6.8,3.5,85.8,1.1,0,86.6,-1.2,4,1.6,,,,
Q1,2013,-0.9,0.7,1.3,5.5,3.9,86.1,4.1,-0.4,94.2,1.5,2.3,1.5,,,,
Q2,2013,1.1,0.6,1.3,6.3,3,87,3.8,0.8,99.2,2.7,1.5,1.5,,,,
Q3,2013,0.6,1.9,1.4,6.5,3.9,87.2,2.6,3.1,98.3,3.2,3.1,1.6,,,,
Q4,2013,-8.3,-1,1.2,-2.8,1.4,105,-8,-4.9,95.3,-3.2,-0.4,1.4,,,,
Q1,2014,-7,-1.2,1.1,1.6,0.5,104.7,-10.8,-3.9,96.9,-3.6,-0.6,1.4,,,,
Q2,2014,-4.5,-1.3,1.1,4.9,0.2,103.9,-9.1,-3.9,98.2,-2.6,-0.7,1.4,,,,
Q3,2014,-2.5,-1,1.1,6.4,0.2,102.9,-7.1,-3.5,99.4,-1.6,-0.5,1.4,,,,
Q4,2014,-0.9,-0.6,1.1,6.8,0.2,101.6,-5.1,-3.1,100.5,-0.6,-0.2,1.4,,,,
Q1,2015,0.4,-0.3,1.1,7,0.2,98.8,-3.2,-2.7,100.3,0.4,0.2,1.4,,,,
Q2,2015,1.3,0.1,1.1,7,0.3,96.1,-1.6,-2.4,100.1,1.1,0.5,1.4,,,,
Q3,2015,1.9,0.3,1.1,7,0.5,93.5,-0.4,-1.9,100,1.7,0.8,1.4,,,,
Q4,2015,2.2,0.5,1.1,7,0.8,91.1,0.5,-1.4,99.9,2.2,1.1,1.4,,,,
Q1,2016,2.3,0.7,1.1,7.1,1.2,89.8,1.2,-0.9,99.6,2.5,1.3,1.4,,,,
Q2,2016,2.3,0.8,1.2,7.2,1.5,88.8,1.7,-0.4,99.4,2.7,1.4,1.4,,,,
Q3,2016,2.2,0.9,1.2,7.3,1.8,88,2,-0.1,99.2,2.8,1.5,1.4,,,,
Q4,2016,2.2,1,1.2,7.4,2,87.3,2.2,0.2,99,2.9,1.7,1.4,,,,
